time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-19 00:00:00,-0.33,-0.33,0.52,0.51,0.47,0.48,0.69,0.69,1013.06,1012.82,1012.82,3.74,4.13,4.12,0.99,0.99,0.21,0.2,0.27,0.25
2024-02-19 03:00:00,-0.81,-0.82,0.9,0.89,1.27,1.28,1.13,1.13,1012.8,1012.04,1012.05,3.29,3.79,3.79,0.98,0.98,0.82,0.8,0.45,0.38
2024-02-19 06:00:00,-0.45,-0.46,0.6,0.62,0.59,0.65,0.77,0.8,1011.3,1010.9,1010.91,3.24,3.71,3.71,0.99,0.99,0.37,0.37,0.27,0.25
2024-02-19 09:00:00,-0.04,-0.07,0.35,0.37,0.27,0.3,0.52,0.55,1011.49,1011.5,1011.5,3.15,3.34,3.34,0.99,0.99,0.03,0.04,0.27,0.27
2024-02-19 12:00:00,-0.16,-0.21,0.48,0.49,0.38,0.39,0.61,0.62,1012.29,1012.21,1012.15,2.95,2.84,2.85,0.98,0.98,0.02,0.03,0.36,0.33
2024-02-19 15:00:00,-0.01,-0.09,0.62,0.59,0.59,0.52,0.77,0.72,1011.52,1011.62,1011.51,2.8,3.09,3.08,0.97,0.97,0.1,0.08,0.55,0.46
2024-02-19 18:00:00,-0.2,-0.35,1.05,0.98,1.65,1.44,1.29,1.2,1009.98,1009.93,1009.72,2.97,3.73,3.66,0.95,0.96,0.58,0.54,1.19,0.9
2024-02-19 21:00:00,-0.38,-0.36,1.01,0.86,1.71,1.31,1.31,1.15,1009.48,1009.23,1009.21,3.07,3.73,3.59,0.94,0.96,0.5,0.34,1.3,0.97
2024-02-20 00:00:00,-0.1,-0.09,1.09,0.97,1.71,1.38,1.31,1.17,1010.4,1010.43,1010.4,2.75,3.37,3.27,0.92,0.94,0.39,0.27,1.49,1.15
2024-02-20 03:00:00,-0.84,-0.85,1.12,1.01,1.87,1.58,1.37,1.26,1010.23,1009.46,1009.44,2.64,3.0,2.93,0.93,0.95,0.73,0.72,1.08,0.77
2024-02-20 06:00:00,-0.6,-0.63,1.16,1.04,1.77,1.48,1.33,1.22,1009.06,1008.51,1008.47,2.75,3.26,3.2,0.93,0.95,0.56,0.54,1.19,0.87
2024-02-20 09:00:00,-0.31,-0.31,0.81,0.65,0.95,0.64,0.98,0.8,1009.61,1009.36,1009.35,2.86,3.11,3.05,0.95,0.97,0.13,0.11,0.82,0.51
2024-02-20 12:00:00,-0.42,-0.49,0.97,0.87,1.33,1.1,1.15,1.05,1010.81,1010.43,1010.36,2.81,3.03,3.01,0.93,0.95,0.19,0.24,1.11,0.81
2024-02-20 15:00:00,-0.44,-0.57,0.95,0.92,1.26,1.23,1.12,1.11,1010.39,1010.03,1009.87,2.92,3.25,3.26,0.95,0.96,0.24,0.4,0.98,0.78
2024-02-20 18:00:00,-0.46,-0.53,1.32,1.18,2.33,1.98,1.53,1.41,1009.1,1008.77,1008.62,3.35,4.22,4.1,0.95,0.96,0.86,0.79,1.44,1.12
2024-02-20 21:00:00,-0.46,-0.49,1.27,1.07,2.35,1.84,1.53,1.36,1009.13,1008.81,1008.71,3.63,4.58,4.42,0.96,0.97,1.0,0.79,1.31,0.99
2024-02-21 00:00:00,-1.02,-1.05,1.48,1.38,3.21,2.94,1.79,1.71,1010.93,1010.06,1009.95,3.36,4.34,4.21,0.96,0.96,1.72,1.7,1.27,1.11
2024-02-21 03:00:00,-1.23,-1.23,1.61,1.5,3.58,3.31,1.89,1.82,1011.3,1010.19,1010.14,3.25,4.13,4.01,0.95,0.95,2.01,1.91,1.44,1.25
2024-02-21 06:00:00,-0.59,-0.66,1.21,1.16,2.1,2.06,1.45,1.43,1010.46,1009.94,1009.87,3.38,4.17,4.11,0.96,0.96,0.9,0.89,1.23,1.09
2024-02-21 09:00:00,-0.58,-0.58,1.21,1.15,2.1,1.95,1.45,1.4,1011.06,1010.58,1010.57,3.46,4.28,4.21,0.96,0.96,0.91,0.81,1.25,1.08
2024-02-21 12:00:00,-0.57,-0.63,1.32,1.3,2.38,2.4,1.54,1.55,1012.32,1011.85,1011.78,3.21,4.08,4.03,0.94,0.95,0.98,0.98,1.53,1.37
2024-02-21 15:00:00,-0.88,-0.91,1.46,1.44,3.03,2.95,1.74,1.72,1011.85,1011.1,1011.04,3.39,4.34,4.32,0.95,0.95,1.47,1.53,1.56,1.32
2024-02-21 18:00:00,-0.51,-0.49,1.58,1.49,3.56,3.29,1.89,1.81,1010.24,1009.93,1009.87,3.89,5.14,5.13,0.95,0.96,1.65,1.66,2.02,1.65
2024-02-21 21:00:00,-0.12,-0.05,1.5,1.4,3.33,3.01,1.83,1.73,1009.87,1009.97,1009.95,4.23,5.6,5.55,0.97,0.97,1.89,1.75,1.64,1.39
2024-02-22 00:00:00,-0.78,-0.83,1.83,1.78,4.47,4.28,2.11,2.07,1011.35,1010.76,1010.65,3.92,5.41,5.37,0.96,0.96,2.56,2.61,1.88,1.64
2024-02-22 03:00:00,-0.57,-0.68,1.77,1.74,4.34,4.12,2.08,2.03,1011.66,1011.28,1011.11,3.5,5.01,4.98,0.94,0.95,2.43,2.49,2.05,1.66
2024-02-22 06:00:00,0.07,-0.07,1.55,1.5,3.78,3.52,1.94,1.88,1010.58,1010.76,1010.64,3.52,4.88,4.85,0.93,0.94,1.88,1.77,2.32,1.93
2024-02-22 09:00:00,0.09,0.04,1.32,1.29,2.86,2.77,1.69,1.66,1011.35,1011.57,1011.52,3.82,4.84,4.84,0.94,0.95,1.08,1.07,2.25,1.88
2024-02-22 12:00:00,0.17,0.04,1.45,1.49,3.5,3.4,1.87,1.84,1012.38,1012.62,1012.54,3.95,4.7,4.71,0.91,0.92,0.63,0.61,3.39,2.96
2024-02-22 15:00:00,0.17,0.06,1.41,1.46,3.35,3.4,1.83,1.84,1012.08,1012.39,1012.27,3.99,4.92,4.93,0.92,0.93,0.95,0.91,2.98,2.69
2024-02-22 18:00:00,0.43,0.31,1.5,1.44,3.8,3.77,1.95,1.94,1010.5,1011.15,1010.97,4.23,5.52,5.49,0.95,0.95,2.1,1.83,2.54,2.32
2024-02-22 21:00:00,0.05,0.13,1.61,1.61,4.1,4.21,2.03,2.05,1010.12,1010.42,1010.42,4.49,5.77,5.76,0.94,0.94,1.72,1.7,3.12,2.85
2024-02-23 00:00:00,-0.31,-0.26,1.69,1.69,4.12,4.14,2.03,2.03,1011.55,1011.5,1011.46,4.26,5.39,5.38,0.92,0.93,1.3,1.27,3.46,3.07
2024-02-23 03:00:00,-0.59,-0.42,1.67,1.69,3.88,4.07,1.97,2.02,1012.11,1011.76,1011.83,3.62,4.65,4.64,0.9,0.91,1.19,1.13,3.21,3.08
2024-02-23 06:00:00,0.16,0.19,1.36,1.43,2.97,3.5,1.72,1.87,1011.33,1011.68,1011.66,3.35,4.14,4.12,0.89,0.89,0.76,0.71,3.02,3.09
2024-02-23 09:00:00,-0.01,0.02,1.53,1.56,3.78,3.72,1.94,1.93,1012.2,1012.33,1012.35,3.51,3.63,3.57,0.83,0.85,0.03,0.03,4.36,3.83
